"Title","Photos Folder","Photos Names","Price","Category","Condition","Brand","Description","Location","Groups"
"Clearance | LG Smart Monitor 32"" FHD 60Hz IPS Monitor (32SR50F)","/Users/amrit/Workspace/ads/Monitors/32SR50F","1.jpeg; 2.jpeg","250","Electronics & computers","New","LG","Selling Brand New LG 32"" Smart Monitor (32SR50F). 

It’s a great monitor for both work and entertainment with a 32-inch screen and Full HD resolution. 

The picture is clear and vibrant thanks to the IPS display, so the colours look great from any angle. 

It’s got HDR support for better contrast, and it runs at 60Hz, which is perfect for everyday use like browsing, streaming, or office work. 

Plus, it comes with Apple AirPlay and Apple Home support, so it’s super easy to connect and use with Apple devices. 

Great condition and ready for a new home!","Toronto, Canada",
"Exercise Bike with Bluetooth","/Users/amrit/Workspace/ads/Exercise Bike","1.jpeg; 2.jpeg; 3.jpeg; 4.jpeg; 5.jpeg; 6.jpeg; 7.jpeg; 8.jpeg; 9.jpeg","300","Bicycles","New","Merach","Bought it from Amazon but missed the return window","Toronto, Canada",
"Electric Pressure Washer Kärcher K2100PS Max 2625 PSI","/Users/amrit/Workspace/ads/K2100PS","1.jpeg; 2.jpeg; 3.jpg; 4.jpg; 5.jpg; 6.jpg","300","Tools","New","Karcher","Electric Pressure Washer with 4 Spray Nozzles - Great for cleaning Cars, Siding, Driveways, Fencing and more - 1.2 GPM

https://a.co/d/7OEi9xB","Toronto, Canada",
"NEW Danby DAC080EB7WDB 8000 BTU Window AC in White","/Users/amrit/Workspace/ads/DAC080EB7WDB","1.jpeg; 2.jpeg; 3.jpg; 4.jpg; 5.jpg; 6.jpg","200","Appliances","New","Danby","NEW IN BOX Danby DAC080EB7WDB 8000 BTU Window AC in White

200$ or best offer","Toronto, Canada",
"NEW Danby DAC100EB9WDB 10000 BTU Window AC in White","/Users/amrit/Workspace/ads/DAC100EB9WDB","1.HEIC; 2.HEIC; 3.jpg; 4.jpg; 5.jpg","250","Appliances","New","Danby","NEW IN BOXDanby DAC100EB9WDB 10000 BTU Window AC in White

$250 or best offer","Toronto, Canada",
"NEW Twin XL White LUCID 10 Inch Gel Memory Foam Mattress","/Users/amrit/Workspace/ads/LUCID","1.jpeg; 2.jpeg; 3.jpg; 4.jpg; 5.jpg; 6.jpg; 7.jpg; 8.jpg; 9.jpg; 10.jpg","150","Furniture","New","Lucid","LUCID 10 Inch Gel Memory Foam Mattress - Plush Feel - CertiPUR-US Certified - Hypoallergenic Bamboo Charcoal - Breathable Cover -","Toronto, Canada",
"NEW OPEN BOX Valeo 835115 Clutch Flywheel Conversion Kit","/Users/amrit/Workspace/ads/VALEO","1.jpeg","800","Car parts","New","Valeo","Bought it but never used it! 
CHECK AMAZON LINK FOR MORE DESCRIPTION https://a.co/d/2Yv1oZv","Toronto, Canada",
"Winter tires 265 / 45R20 / 108V","/Users/amrit/Workspace/ads/tire2","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC","300","Car parts","Used – fair","Naxen","Brand name is Nexen

Pickup by Pearson airport","Toronto, Canada",
"Winter Tires 205 / 65R16 / 95H","/Users/amrit/Workspace/ads/tire1","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC","250","Car parts","Used – fair","Evovision","Brand name is Evovision

Pickup by pearson Airport","Toronto, Canada",
"Beautiful Natural Wood Standing Desk","/Users/amrit/Workspace/ads/table","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC; 5.HEIC; 6.HEIC; 7.HEIC; 8.HEIC; 9.HEIC","900","Furniture","Used – like new",,"Beautiful live edge wood 7 feet wide computer desk with standing desk mount

Its custom made and original cost was around 1200$","Toronto, Canada",
"NEW OPEN BOX Valeo 835115 Clutch Flywheel Conversion Kit","/Users/amrit/Workspace/ads/VALEO","1.jpeg","800","Car parts","New","Valeo","Bought it but never used it! 
CHECK AMAZON LINK FOR MORE DESCRIPTION https://a.co/d/2Yv1oZv","Toronto, Canada",
"Winter tires 265 / 45R20 / 108V","/Users/amrit/Workspace/ads/tire2","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC","300","Car parts","Used – fair","Naxen","Brand name is Nexen

Pickup by Pearson airport","Toronto, Canada",
"Winter Tires 205 / 65R16 / 95H","/Users/amrit/Workspace/ads/tire1","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC","250","Car parts","Used – fair","Evovision","Brand name is Evovision

Pickup by pearson Airport","Toronto, Canada",
"Beautiful Natural Wood Standing Desk","/Users/amrit/Workspace/ads/table","1.HEIC; 2.HEIC; 3.HEIC; 4.HEIC; 5.HEIC; 6.HEIC; 7.HEIC; 8.HEIC; 9.HEIC","900","Furniture","Used – like new",,"Beautiful live edge wood 7 feet wide computer desk with standing desk mount

Its custom made and original cost was around 1200$","Toronto, Canada",
